FunctionName, NumberOfBugs
bash-3.2\subst.c->parameter_brace_remove_pattern, 1
bash-3.2\expr.c->evalexp, 1
bash-3.2\lib\readline\display.c->_rl_move_cursor_relative, 3
bash-3.2\subst.c->parameter_brace_expand_rhs, 1
bash-3.2\subst.c->parameter_brace_expand_word, 1
bash-3.2\execute_cmd.c->execute_simple_command, 1
bash-3.2\subst.c->extract_dollar_brace_string, 1
bash-3.2\lib\readline\text.c->_rl_char_search, 1
bash-3.2\lib\readline\input.c->rl_stuff_char, 1
bash-3.2\subst.c->read_comsub, 1
bash-3.2\expr.c->expcond, 1
bash-3.2\subst.c->parameter_brace_patsub, 3
bash-3.2\lib\sh\snprintf.c->numtoa, 1
bash-3.2\subst.c->string_list_dollar_at, 1
bash-3.2\builtins\common.c->no_args, 1
bash-3.2\lib\readline\text.c->_rl_insert_next, 1
bash-3.2\lib\sh\snprintf.c->number, 1
bash-3.2\subst.c->command_substitute, 2
bash-3.2\builtins\evalstring.c->parse_and_execute, 1
bash-3.2\variables.c->make_variable_value, 1
bash-3.2\lib\readline\vi_mode.c->rl_vi_char_search, 2
bash-3.2\lib\sh\snprintf.c->floating, 2
bash-3.2\lib\readline\vi_mode.c->_rl_vi_callback_char_search, 1
bash-3.2\jobs.c->wait_for, 3
bash-3.2\subst.c->parameter_brace_expand_indir, 1
bash-3.2\lib\readline\vi_mode.c->_rl_vi_callback_getchar, 1
bash-3.2\lib\sh\snprintf.c->exponent, 1
bash-3.2\parse.y->read_token_word, 3
bash-3.2\jobs.c->raw_job_exit_status, 1
bash-3.2\lib\readline\isearch.c->_rl_isearch_dispatch, 1
bash-3.2\subst.c->dequote_string, 2
bash-3.2\lib\readline\display.c->update_line, 5
bash-3.2\lib\readline\display.c->rl_expand_prompt, 2
bash-3.2\findcmd.c->search_for_command, 1
bash-3.2\lib\readline\input.c->rl_gather_tyi, 1
bash-3.2\lib\sh\getcwd.c->getcwd, 1
bash-3.2\subst.c->quote_escapes, 3
bash-3.2\subst.c->dequote_escapes, 3
bash-3.2\lib\readline\complete.c->get_y_or_n, 1
bash-3.2\lib\readline\display.c->rl_redisplay, 3
bash-3.2\execute_cmd.c->initialize_subshell, 1
bash-3.2\lib\readline\vi_mode.c->_rl_vi_set_mark, 1
bash-3.2\lib\readline\vi_mode.c->_rl_vi_callback_change_char, 1
bash-3.2\lib\readline\misc.c->_rl_arg_dispatch, 1
bash-3.2\builtins\common.c->get_working_directory, 1
bash-3.2\subst.c->separate_out_assignments, 1
bash-3.2\lib\readline\input.c->rl_get_char, 1
bash-3.2\execute_cmd.c->execute_command_internal, 2
bash-3.2\lib\sh\snprintf.c->vsnprintf_internal, 1
bash-3.2\lib\readline\vi_mode.c->_rl_vi_goto_mark, 1
bash-3.2\jobs.c->delete_job, 1
bash-3.2\subst.c->expand_prompt_string, 2
bash-3.2\subst.c->parameter_brace_substring, 2
bash-3.2\builtins\common.c->get_numeric_arg, 1
bash-3.2\expr.c->expr_streval, 1
bash-3.2\lib\readline\vi_mode.c->rl_vi_domove, 2
bash-3.2\parse.y->read_token, 2
bash-3.2\lib\readline\readline.c->_rl_dispatch_callback, 1
